business_id,name,city,review_count,total_checkins,conversion_rate
DcBLYSvOuWcNReolRVr12A,Drago's Seafood Restaurant,New Orleans,3160,5672,1.79
j-qtdD55OLfSqfsWuQTDJg,Parc,Philadelphia,2761,5569,2.02
LklDTDwgJLbUjd67ZKsvCg,Rittenhouse Square Park,Philadelphia,246,5498,22.35
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,Philadelphia,2736,5492,2.01
J6ZSgoKCLBDMMzuhM-aYGg,Eldorado Resort Casino,Reno,934,5437,5.82
TcNZXteosegb1RO4O5hREw,Parkway Bakery & Tavern,New Orleans,2160,5407,2.5
SwBhaxfQPbyhsi0QHUAN0A,Seminole Hard Rock Hotel & Casino Tampa,Tampa,739,5394,7.3
9PZxjhTIU7OgPIzuGi89Ew,El Vez,Philadelphia,3187,5354,1.68
uvGfk8eirExWR-B9zsIN5Q,Indianapolis City Market,Indianapolis,227,5280,23.26
rSYyGcZZziJLsqKl5hMcDw,Circus Circus Reno,Reno,1249,5158,4.13
ntiIq1FNqduOyyowMFGh5A,Nan Zhou Hand Drawn Noodle House,Philadelphia,2188,5113,2.34
8uF-bhJFgT4Tn6DTb27viA,District Donuts Sliders Brew,New Orleans,2062,5090,2.47
LUXRw-mr9emGL2gw4otvVA,Benjamin Franklin Bridge,Philadelphia,95,4968,52.29
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,Philadelphia,3401,4959,1.46
-K0LoSCfh8i5U_y53Krepg,International Plaza and Bay Street,Tampa,261,4955,18.98
IWHdx0NhDKADkGOgXgOFKQ,Tommy DiNic's,Philadelphia,2221,4951,2.23
iqJ3t9iq0fsWaYL93s8Vmw,King of Prussia,King Of Prussia,477,4930,10.34
plobBsTtVUODb353xxFT_g,Sushi Rose,Reno,634,4930,7.78
qQO7ErS_RAN4Vs1uX0L55Q,The Franklin Fountain,Philadelphia,2062,4894,2.37
m1HVolBJiYajyq07J550jQ,City of New Orleans,New Orleans,143,4859,33.98
-OKB11ypR4C8wWlonBFIGw,Atlantis Casino Resort Spa,Reno,1218,4849,3.98
BjeHLwKOlHyV6DJgmZxAjA,Jimmy J's Cafe,New Orleans,2137,4768,2.23
7pwFfnB6FH4lflXWrQ2Tqw,Jack's Bar-B-Que,Nashville,1564,4765,3.05
XnQ84ylyAZwh-XfHGGNBbQ,Coop's Place,New Orleans,3157,4752,1.51
WXgV2lOUgas7DzTLeDau-w,The Rum House,New Orleans,1599,4731,2.96
znlrxrY4InSx7ekPZxoHRw,McConnell's Fine Ice Creams,Santa Barbara,1537,4696,3.06
oIH5YWPy_g61YXM6R900Wg,Puckett's Grocery & Restaurant,Nashville,2746,4691,1.71
N1GYsCd5QAchGOCeQ37J9g,New Orleans City Park,New Orleans,295,4682,15.87
8pqdJjefYq-a9IBSJJmKwA,The Dandelion,Philadelphia,2497,4656,1.86
VAeEXLbEcI9Emt9KGYq9aA,The Pharmacy,Nashville,3054,4655,1.52
7Iv-6B0EH-yVo5o_VnykWw,The National WWII Museum,New Orleans,1637,4594,2.81
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,1639,4582,2.8
muxda1cSVtplETqTfYVgZA,HUB Restaurant & Ice Creamery,Tucson,1270,4487,3.53
5Z7HXqp22lSiN0Q8iF94hQ,Zodo's Bowlero Bowling & Beyond,Goleta,287,4478,15.6
3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,Tampa,2860,4476,1.57
1b5mnK8bMnnju_cvU65GqQ,Biscuit Love: Gulch,Nashville,4207,4467,1.06
tMtI6ECD6hwM-nFp2kXLKQ,Tea Do,Philadelphia,835,4461,5.34
ww3YJXu5c18aGZXWmm00qg,Café Amelie,New Orleans,2756,4444,1.61
RvTHIKHaPVVp8S9cihpi5w,The Spotted Cat Music Club,New Orleans,891,4324,4.85
OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,Philadelphia,2184,4306,1.97
ODnBnY1yRXwhuWAWydVsCA,Lakeside Shopping Center,Metairie,99,4302,43.45
AFYI0sfZ6WdVELjjEYOIpw,Busch Gardens Tampa Bay,Tampa,1325,4279,3.23
nRKndeZLQ3eDL10UMwS2rQ,Ted Drewes,Saint Louis,1395,4248,3.05
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,Philadelphia,2893,4210,1.46
fCDMLD21ypv1XZ_EyafCkQ,Bodega,Saint Petersburg,1772,4202,2.37
q-zV08jt6U-q05SMEuQJAQ,The Original Tony Lukes,Philadelphia,1910,4198,2.2
RLlOK2fL6xU1sfIPiP2QBw,Deanie's Seafood,New Orleans,2473,4192,1.7
vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,New Orleans,2084,4185,2.01
qY-BUQY-SFBaSrFHowF3nA,Nine Ting,Philadelphia,1213,4182,3.45
1teRq-Q6XG6l-WoinZFX0g,The University of Arizona,Tucson,88,4167,47.35
skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,Santa Barbara,2536,4121,1.63
-xaY1TlMf20Ol9QLcDSU6Q,French Market,New Orleans,692,4117,5.95
